year,animal_number,treatment,sex,age_month,infected,infection_day,date,birth,age_days,Total_WBC_ul,PMN_ul,Lymph_ul,Mono_ul,Eos_ul,Baso_ul,%PMN,%Lymph,% Mono,% Eos,%Baso
2,48074,abx_H1N1,M,"NA",yes,11,2019-11-02T00:00:00Z,2019-04-24T00:00:00Z,192,1000,4400,5500,100,0,0,44,55,1,0,0
2,48074,abx_H1N1,M,"NA",yes,7,2019-10-29T00:00:00Z,2019-04-24T00:00:00Z,188,16600,13446,2822,332,0,0,81,17,2,0,0
2,48074,abx_H1N1,M,"NA",yes,3,2019-10-25T00:00:00Z,2019-04-24T00:00:00Z,184,11400,7980,2622,684,114,0,70,23,6,1,0
2,48074,abx_H1N1,M,"NA",yes,2,2019-10-24T00:00:00Z,2019-04-24T00:00:00Z,183,6600,4620,1814,0,66,0,70,29,0,1,0
2,48074,abx_H1N1,M,"NA",yes,1,2019-10-23T00:00:00Z,2019-04-24T00:00:00Z,182,12200,8662,3050,488,0,0,71,25,4,0,0
2,48074,abx_H1N1,M,"NA",yes,0,2019-10-22T00:00:00Z,2019-04-24T00:00:00Z,181,9500,7505,1805,180,0,0,79,19,2,0,0
2,48074,abx_H1N1,M,4,no,"NA",2019-08-28T00:00:00Z,2019-04-24T00:00:00Z,126,12200,5368,6466,244,122,0,44,53,2,1,0
2,48074,abx_H1N1,M,3,no,"NA",2019-07-29T00:00:00Z,2019-04-24T00:00:00Z,96,8400,3024,5292,0,84,0,36,63,0,1,0
2,48074,abx_H1N1,M,2,no,"NA",2019-06-28T00:00:00Z,2019-04-24T00:00:00Z,65,5000,1250,3700,50,0,0,25,74,1,0,0
2,48074,abx_H1N1,M,1,no,"NA",2019-05-29T00:00:00Z,2019-04-24T00:00:00Z,35,4300,602,3612,43,43,0,14,84,1,1,0
2,48074,abx_H1N1,M,0,no,"NA",2019-04-29T00:00:00Z,2019-04-24T00:00:00Z,5,6400,2560,3072,640,128,0,40,48,10,2,0
2,48190,control_H1N1,F,6,yes,14,2019-11-14T00:00:00Z,2019-05-09T00:00:00Z,189,12200,9638,2562,0,0,0,79,21,0,0,0
2,48190,control_H1N1,F,"NA",yes,14,2019-11-14T00:00:00Z,2019-05-09T00:00:00Z,189,12200,9638,2562,0,0,0,79,21,0,0,0
